tweet_text;tweet_full_text;personal_mark
[00:00] Most mentioned tickers in the last 4 hours: $BTC $XLM $ETH $XRP $BAT $TRX $ADA $BNB $RVN $LTC https://t.co/n2H3f03jur;None;0
#EVX - Sharp decrease 1h: -7.5% V: 183.6M$ on https://t.co/fC7n9Xb8X9   Users are notified 1H ago via… https://t.co/A5z3XP9zwU;"#EVX - Sharp decrease 1h: -7.5% V: 183.6M$ on https://t.co/fC7n9Xb8X9   Users are notified 1H ago via https://t.co/mfcT6cyBbr &amp; App.   #blockchain #cryptocurrency #altcoins #coinalert #crypto $EVX $BTC $ETH $XRP $BCH $LTC $EOS $NEO $TRX $BTT #binance #okex https://t.co/XKodr58VYn";0
Start earning your first bitcoin with only 100USD https://t.co/dRMz49Ndgd;None;0.2
Top 5  $TNC $USDT on @gate_io +9% $MTH $BTC on @hitbtc +11% $MTH $BTC on @hitbtc +11% $UKG $BTC on @quoinexchange +… https://t.co/mfDELwgcSK;Top 5  $TNC $USDT on @gate_io +9% $MTH $BTC on @hitbtc +11% $MTH $BTC on @hitbtc +11% $UKG $BTC on @quoinexchange +17% $UKG $BTC on @quoinexchange +17%;0
RT jonnylitecoin: A major driver of #Bitcoin and #Litecoin Payment Adoption is going to be credit card fees being passed on to the consume…;None;0
Injection Moulding Setter. - Sierra 57 Consult Ltd ( United Kingdom )  - [ ➡ https://t.co/WFzOqKHuk6 ] #Robotics… https://t.co/vRUcWAh9K5;Injection Moulding Setter. - Sierra 57 Consult Ltd ( United Kingdom )  - [ ➡ https://t.co/WFzOqKHuk6 ] #Robotics #AI #ArtificailIntelligence #Robots #AI  #jobs #Hiring #Careers  #Cryptocurrency #Blockchain #BTC https://t.co/iyhJJFiz21;0
�� #Robostopia Smart #CryptoCurrency Trader Bot for #Binance and #Bittrex ✅ Trailing Stop-Loss, Buy or Sell… https://t.co/NfKCwFx5cp;📢 #Robostopia Smart #CryptoCurrency Trader Bot for #Binance and #Bittrex ✅ Trailing Stop-Loss, Buy or Sell #altcoins / BTC pairs. ✅ Auto Renew Orders ✅ Profit / Loss notifications by transactions. ✅ Completed Order notifications and many more.. 👉 https://t.co/vtm2aTYKA0 https://t.co/ohKvRy7z5K;0
Bitcoin.    Overhyped AND underestimated.   Both can be true.;None;0.2
�� Market Cap: $138,542,346,776 👊 BTC Dominance: 50.66% 1️⃣ BTC: $3,983.92 | 1H: 0.27% 2️⃣ ETH: $135.46 | 1H: 0.18%… https://t.co/uOtiQgmGBP;💰 Market Cap: $138,542,346,776 👊 BTC Dominance: 50.66% 1️⃣ BTC: $3,983.92 | 1H: 0.27% 2️⃣ ETH: $135.46 | 1H: 0.18% 3️⃣ XRP: $0.31 | 1H: 0.77% 4️⃣ LTC: $59.34 | 1H: 0.73% 5️⃣ EOS: $3.76 | 1H: 1.87% ⏰ 27.03.2019 02:58:27 ℹ Powered by #Robostopia;0
"This tweet, ""Google-owned video-sharing platform YouTube reportedly ran a malicious ad for the Electrum Bitcoin wal… https://t.co/alBeDY7YCh";"This tweet, ""Google-owned video-sharing platform YouTube reportedly ran a malicious ad for the Electrum Bitcoin wallet by mistake.... #decrypted #blockchain #bitcoinScams https://t.co/asedTV1LUU"" hasn't been tweeted more than 0 times.";-0.2
Top 5 Cryptocurrencies - Current Prices  Bitcoin $BTC: $3,984.45 ⬆️ +0.27% Ethereum $ETH: $135.40 ⬆️ +0.13% XRP… https://t.co/sDMdYctNMO;Top 5 Cryptocurrencies - Current Prices  Bitcoin $BTC: $3,984.45 ⬆️ +0.27% Ethereum $ETH: $135.40 ⬆️ +0.13% XRP $XRP: $0.305208502 ⬆️ +0.80% Litecoin $LTC: $59.36 ⬆️ +0.75% EOS $EOS: $3.76 ⬆️ +1.90% 🚀🚀;0
"Top 100 avg 24h return: 0.7±5.4%; 52 up, 48 down $BTC 0.5%  $ETH 0.2% Best: 46.1% $ENG @enigmampc 13.3% $WICC… https://t.co/E6MWc0kMxT";"Top 100 avg 24h return: 0.7±5.4%; 52 up, 48 down $BTC 0.5%  $ETH 0.2% Best: 46.1% $ENG @enigmampc 13.3% $WICC @wayki_chain 7.2% $WTC @Waltonchain 5.6% $BAT @attentiontoken 5.5% $PIVX @_pivx Worst: -6.0% $XVG -6.2% $CRO -6.6% $RVN -6.9% $QBIT -8.4% $ABBC #cryptotrading #crypto https://t.co/tDOiXejMqt";0
03-27 00:00(GMT) #SPINDLE price  $SPD (BTC) Yobit   :0.00000016 HitBTC  :0.00000014 LiveCoin:0.00000014  $SPD (JPY)… https://t.co/faK6CG5YeD;03-27 00:00(GMT) #SPINDLE price  $SPD (BTC) Yobit   :0.00000016 HitBTC  :0.00000014 LiveCoin:0.00000014  $SPD (JPY) Yobit   :0.07 HitBTC  :0.06 LiveCoin:0.06;0
Blockchain (i) Scalability (ii) Throughput (iii) Energy Solved! https://t.co/5FXVF9IBwX #kickstarter #philadelphia… https://t.co/wT06spDwei;Blockchain (i) Scalability (ii) Throughput (iii) Energy Solved! https://t.co/5FXVF9IBwX #kickstarter #philadelphia #cybersecurity #sydney #AVCJsingapore #crowdfunding #tampa #bonus #honolulu #sandeigo #washingtonDc #BitCoin #initialcoinofferings #fund #lasvegas #stlouis #madison https://t.co/9rwZ0JiC8p;0
RT @XPAtwopointoh: Retweet And Tweet the pinned post and tag 5 friends Airdrop XPA Token Has begun XPA Available in coinmarketcap For all u…;Retweet And Tweet the pinned post and tag 5 friends Airdrop XPA Token Has begun XPA Available in coinmarketcap For all users 7000 XPA Token 78$ Invite friends  50 XPA TOKEN 0.50$  Join Now: https://t.co/N8nzO3mzet #Airdrops #airdrop #XPA #BTC #ETH #Token #USA #CryptoNews;0.2
Another hour! It's #WEALTHGENERATION TIME get HYIPPEPE at https://t.co/Tsw4BmYQ5h #bitcoin https://t.co/EtWEJUBFqz;None;0
#MTH - Sharp decrease 1h: -12.7% V: 13.9M$ on https://t.co/fC7n9Xb8X9   Users are notified 1H ago via… https://t.co/0zufOOEPov;"#MTH - Sharp decrease 1h: -12.7% V: 13.9M$ on https://t.co/fC7n9Xb8X9   Users are notified 1H ago via https://t.co/mfcT6cyBbr &amp; App.   #blockchain #cryptocurrency #altcoins #coinalert #crypto $MTH $BTC $ETH $XRP $BCH $LTC $EOS $NEO $TRX $BTT #binance #okex https://t.co/1hCoK8mzhS";0
"Top 100 avg 1h return: 0.5±1.8%; 74 up, 25 down $BTC 0.3%  $ETH 0.1% Best: 13.9% $ENG @enigmampc 4.2% $PIVX @_pivx… https://t.co/fSmDGtUAVo";"Top 100 avg 1h return: 0.5±1.8%; 74 up, 25 down $BTC 0.3%  $ETH 0.1% Best: 13.9% $ENG @enigmampc 4.2% $PIVX @_pivx 4.0% $AOA @AuroraOffic_en Top 101-200 avg 1h return: 0.4±1.6%; 72 up, 28 down Best: 11.6% $VEST @vestchain 4.1% $NRG @Energicrypto 2.4% $VTC @Vertcoin  #altcoins https://t.co/LajTcDQ7av";0
Strategy: Strategy_0 Product ID: BTC-USD Invest: False Time of Prediction: 2019-03-27 00:00:03 UTC Prediction:  The… https://t.co/1IZGKYuhfy;Strategy: Strategy_0 Product ID: BTC-USD Invest: False Time of Prediction: 2019-03-27 00:00:03 UTC Prediction:  The final closing price of BTC-USD will be LOWER on 2019-03-27 UTC than on 2019-03-26 UTC.;-0.2
Weiss Ratings Ranks XRP, EOS, Bitcoin As Top Cryptocurrency Projects https://t.co/kipFhah9Ie;None;0
Free Bitcoin Mining earn without investing anything join now for free https://t.co/vxGVRuP1Vz #ShareTheBlessings;None;0.2
BTC hourly update $3949.67    |    +0.0021%📈 $BTC #BTCUSD #Bitcoin;None;0
USD: 110.520 EUR: 124.600 GBP: 146.008 AUD:  78.867 NZD:  76.347 CNY:  16.454 CHF: 111.209 BTC: 433,225 ETH: 14,705 Wed Mar 27  09:00 JST;None;0
Price Update: 1 #Bitcoin = $3,942.26 📈   #cryptocurrency $BTC source https://t.co/Rhm8c4MrrZ;None;0
#BTC  Bitcoin USD: 3954.83  Bitcoin EUR: 3463.33  Bitcoin Yen: 431000.16  Bitcoin Ruble: 244184.65   #CgAn BTC AdDr… https://t.co/Nr8qz3hV5Z;#BTC  Bitcoin USD: 3954.83  Bitcoin EUR: 3463.33  Bitcoin Yen: 431000.16  Bitcoin Ruble: 244184.65   #CgAn BTC AdDreSs: 1Bhgvcsm3P59fSCLg5G6DSstpV4srk5JTy https://t.co/gqKCeQwU0C;0
#BTC  Bitcoin EUR: 3463.33  Bitcoin USD: 3954.83  Bitcoin Ruble: 244184.65  Bitcoin Yen: 431000.16   #CgAn BTC AdDr… https://t.co/5oWEWpI1lS;#BTC  Bitcoin EUR: 3463.33  Bitcoin USD: 3954.83  Bitcoin Ruble: 244184.65  Bitcoin Yen: 431000.16   #CgAn BTC AdDreSs: 1Bhgvcsm3P59fSCLg5G6DSstpV4srk5JTy https://t.co/F4NDCYIJNX #ICC;0
@coinalert_live Аutomated trading! Traders from UK know how to earn fast 1.5%-2% daily fully automated! 👑🎉  Registe… https://t.co/bo0D7dysQ0;@coinalert_live Аutomated trading! Traders from UK know how to earn fast 1.5%-2% daily fully automated! 👑🎉  Register today and convert your $100 into $14.500 :  ✅ https://t.co/fyzqvmgamH  ✅  $BTS $BTCP $BTG $BTC $BTO $BTM $BURST ⭕ 1006751225;0.2
